Metric,Value
cpu_percent,3.8
cpu_per_core,[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0]
cpu_freq_current,578
cpu_freq_max,2150
cpu_freq_min,400
cpu_temp,38.0°C
cpu_cores_physical,10
cpu_cores_logical,16
load_avg,1.68, 1.43, 1.29
load_avg_1,1.6787109375
load_avg_5,1.4287109375
load_avg_15,1.29296875
cpu_time_user,2.8
cpu_time_system,1.4
cpu_time_idle,94.6
ram_percent,45.3
ram_total,15.299148559570312
ram_used,4.599006652832031
ram_available,8.368522644042969
ram_free,1.5105056762695312
ram_cached,9.186100006103516
ram_buffers,0.003536224365234375
ram_shared,1.4175834655761719
swap_percent,0.0
swap_total,7.649410247802734
swap_used,5.7220458984375e-05
swap_free,7.64935302734375
memory_pressure,LOW
mem_pages_in,N/A
mem_pages_out,N/A
disk_percent,100.0
disk_total,0.040843963623046875
disk_used,0.040843963623046875
disk_free,0.0
disk_partitions,9
partition_list,[{'device': '/dev/nvme0n1p3', 'mountpoint': '/etc', 'fstype': 'btrfs', 'total': 475.3525390625, 'used': 209.13550567626953, 'percent': 44.3}, {'device': '/dev/nvme0n1p3', 'mountpoint': '/sysroot', 'fstype': 'btrfs', 'total': 475.3525390625, 'used': 209.13550567626953, 'percent': 44.3}, {'device': '/dev/nvme0n1p3', 'mountpoint': '/sysroot/ostree/deploy/default/var', 'fstype': 'btrfs', 'total': 475.3525390625, 'used': 209.13550567626953, 'percent': 44.3}, {'device': '/dev/nvme0n1p3', 'mountpoint': '/var', 'fstype': 'btrfs', 'total': 475.3525390625, 'used': 209.13550567626953, 'percent': 44.3}, {'device': '/dev/nvme0n1p2', 'mountpoint': '/boot', 'fstype': 'ext4', 'total': 0.9506034851074219, 'used': 0.4655952453613281, 'percent': 52.6}, {'device': '/dev/nvme0n1p3', 'mountpoint': '/var/home', 'fstype': 'btrfs', 'total': 475.3525390625, 'used': 209.13550567626953, 'percent': 44.3}, {'device': '/dev/nvme0n1p1', 'mountpoint': '/boot/efi', 'fstype': 'vfat', 'total': 0.58477783203125, 'used': 0.01224517822265625, 'percent': 2.1}, {'device': '/dev/nvme0n1p3', 'mountpoint': '/usr/share/wireplumber', 'fstype': 'btrfs', 'total': 475.3525390625, 'used': 209.13550567626953, 'percent': 44.3}, {'device': '/dev/nvme0n1p3', 'mountpoint': '/usr/share/pipewire', 'fstype': 'btrfs', 'total': 475.3525390625, 'used': 209.13550567626953, 'percent': 44.3}]
disk_read_bytes,9900576768
disk_write_bytes,2148516864
disk_read_speed,0.0
disk_write_speed,1122304.0
disk_read_count,96831
disk_write_count,93886
disk_read_time,35428
disk_write_time,797978
open_files,374
fd_usage,4/1024
net_sent,4655954
net_recv,49121453
net_packets_sent,13272
net_packets_recv,44724
net_up_speed,532.0
net_down_speed,436.0
net_connections,43
net_connections_listen,13
net_connections_established,18
net_connections_time_wait,0
net_interfaces,['lo', 'wlan0', 'enp3s0']
net_interface_details,[{'name': 'lo', 'ip': '127.0.0.1', 'netmask': '255.0.0.0'}, {'name': 'wlan0', 'ip': '192.168.1.4', 'netmask': '255.255.255.0'}]
